reviewerID-itemID,prediction
U566642233-I937291762,4.09566381718689
U150556394-I033937358,3.9627070901116
U835748092-I634015598,4.058472523068987
U636069453-I432257131,4.253359703286035
U336431363-I745492929,4.234203215020028
U758414122-I756853665,4.892427787680827
U130225570-I486717455,4.523188522301494
U648205745-I502225117,4.510394350236788
U776921293-I585421125,4.73164865153498
U096413293-I722344870,3.4279958799535826
U305763976-I709787086,4.411954692247607
U939531966-I979997172,3.708850512995258
U271645375-I307457665,4.741099860485111
U250426154-I538216333,3.988266278810908
U387549723-I231438714,4.199608810254975
U270454652-I365454023,4.4315402106022574
U636266377-I895469388,4.74733513425321
U900965053-I007147890,4.285191101990298
U926405702-I359425229,4.034473758710613
U090866101-I592467797,2.257730577058989
U581492151-I948331108,3.5591597537626716
U606843232-I499878149,3.80097756006127
U962588101-I353905377,3.3718109047860296
U664239707-I916505316,3.8086452369926205
U497093539-I155706949,4.309591651154578
U274419064-I965040933,4.675781814178162
U929175090-I958513376,4.623533166823551
U919435085-I622433789,4.022236760275642
U810288046-I529899896,3.739141046355419
U062151094-I595998279,4.471551844495073
U875273718-I461303693,4.4143917672757444
U357609398-I724074601,4.256129988043779
U813537135-I564494549,4.065002866211447
U457379608-I424608098,3.4184636586590518
U393983418-I201954352,4.86417068197318
U492548292-I756790261,3.8917687196790895
U443028966-I155151485,4.007836136001728
U709002229-I329423724,4.224469910538894
U146900934-I540444368,4.769792974000665
U483948589-I769363117,3.825773302650615
U655294618-I146536647,4.5769472164761575
U527436214-I722868926,4.531842788003421
U032175184-I288937997,3.8432295958896914
U154458239-I526411841,4.300539729668868
U204380203-I603123468,4.21152574426465
U139642384-I141947192,4.631321257014709
U359726789-I972607004,3.9867330363505786
U895418946-I778945567,4.7228474460725005
U099956541-I395716623,3.575189084645473
U250211662-I872124478,4.041690480823787
U757149546-I245323432,4.308347837726201
U149906834-I099639717,4.698831757798576
U771032515-I931683003,4.10323871318003
U407686177-I531141417,4.501308787772457
U979511532-I909403694,4.304645019959857
U100733791-I304304398,4.362729074336071
U207126270-I502407773,4.996250645116699
U608155709-I339161230,4.203910464405137
U880130901-I616600214,4.034672206158977
U723529849-I398185027,4.0522833096944675
U705397837-I228136270,3.9672959205166074
U411420531-I768011293,3.7277912407310625
U639812787-I119809442,4.439377270288183
U530595981-I525522378,4.801354851509352
U831083794-I069178741,4.010253930128338
U029043020-I581801434,4.806114140042463
U870781557-I314243938,3.960004773899879
U037378587-I677363180,4.638954320088275
U561367260-I320492054,3.718420877382543
U534841240-I789304683,4.319267432611904
U893528551-I907081071,4.394276210653558
U601525940-I194113623,3.788847118744217
U939886257-I372464901,3.5961297185562264
U006942882-I045368617,4.491743159204894
U281187905-I787202794,4.451431922490094
U612051865-I750615665,4.328844055249266
U037346614-I610410053,4.832530703648201
U220047452-I770156830,4.6069919533741786
U652087716-I252963466,3.7255307731043135
U314308331-I706959681,3.9364623319725047
U805048712-I331712855,3.50803012034079
U149144645-I856200609,4.24618132607575
U880993028-I139984967,4.464853605259696
U568419040-I684469211,3.6468125414869115
U334267446-I973937765,4.640444145327482
U248217934-I727088082,4.316246554291805
U768518672-I633993017,4.341101804549744
U786518215-I363016913,4.32885207473154
U727878148-I063379235,4.013696997333415
U757334934-I395883019,3.4728121780832772
U694636251-I787651428,4.95870492658514
U491159528-I585866568,4.100572678563799
U752536317-I982973735,3.425468945502911
U254059994-I791083407,4.073150804108055
U977764747-I196695810,4.299080310665325
U975387781-I177436743,4.292776763507932
U655086821-I520451462,4.137638278281497
U834677793-I683261871,3.338134546165562
U795273791-I492408058,4.150632727085044
U025096292-I845003352,4.172649115030008
U402656257-I458038364,4.309574639942785
